644:26-644:69 | EqualityOperator | Survived | "Math.sign(storedDelta) !== Math.sign(delta)"
644:72-644:91 | ArithmeticOperator | Survived | "delta - storedDelta"
656:42-658:4 | BlockStatement | Survived | "{}"
658:10-660:4 | BlockStatement | Survived | "{}"
663:121-663:127 | StringLiteral | Survived | "\"\""
668:20-668:27 | ConditionalExpression | Survived | "true"
669:20-669:27 | ConditionalExpression | Survived | "true"
679:9-679:41 | ConditionalExpression | Survived | "true"
679:9-679:41 | LogicalOperator | Survived | "scale.isHorizontal() || xEnabled"
680:14-680:47 | ConditionalExpression | Survived | "true"
680:14-680:47 | LogicalOperator | Survived | "!scale.isHorizontal() || yEnabled"
683:10-683:27 | OptionalChaining | Survived | "panOptions.onPan"
692:30-692:40 | OptionalChaining | Survived | "entry.min"
692:53-692:63 | OptionalChaining | Survived | "entry.max"
711:9-711:34 | ConditionalExpression | Survived | "true"
712:9-712:34 | ConditionalExpression | Survived | "true"
737:7-737:36 | ConditionalExpression | Survived | "false"
742:19-742:35 | ConditionalExpression | Survived | "true"
742:19-742:35 | ConditionalExpression | Survived | "false"
742:19-742:35 | EqualityOperator | Survived | "type !== 'wheel'"
742:28-742:35 | StringLiteral | Survived | "\"\""
742:38-742:43 | BooleanLiteral | Survived | "true"
743:42-743:53 | ObjectLiteral | Survived | "{}"
747:7-747:22 | ConditionalExpression | Survived | "true"
750:24-750:30 | StringLiteral | Survived | "\"\""
757:24-757:33 | StringLiteral | Survived | "\"\""
758:20-758:25 | BooleanLiteral | Survived | "true"
760:22-760:28 | StringLiteral | Survived | "\"\""
772:53-772:83 | ArithmeticOperator | Survived | "event.clientY + canvasArea.top"
778:7-778:18 | ConditionalExpression | Survived | "true"
781:30-781:48 | ArrayDeclaration | Survived | "[]"
781:31-781:47 | ObjectLiteral | Survived | "{}"
800:5-800:28 | ConditionalExpression | Survived | "false"
804:40-804:58 | ArrayDeclaration | Survived | "[]"
804:41-804:57 | ObjectLiteral | Survived | "{}"
813:15-813:44 | ArithmeticOperator | Survived | "points.end.x + points.begin.x"
816:7-816:26 | EqualityOperator | Survived | "ratio >= aspectRatio"
818:14-818:33 | ConditionalExpression | Survived | "true"
818:14-818:33 | EqualityOperator | Survived | "ratio <= aspectRatio"
819:14-819:63 | ArithmeticOperator | Survived | "Math.sign(height) / Math.abs(width / aspectRatio)"
819:43-819:62 | ArithmeticOperator | Survived | "width * aspectRatio"
822:18-822:41 | ArithmeticOperator | Survived | "points.begin.y - height"
861:43-861:46 | StringLiteral | Survived | "\"\""
862:43-862:46 | StringLiteral | Survived | "\"\""
864:40-864:68 | ObjectLiteral | Survived | "{}"
866:7-866:15 | ConditionalExpression | Survived | "true"
867:7-867:15 | ConditionalExpression | Survived | "true"
877:12-877:29 | ConditionalExpression | Survived | "true"
877:12-877:29 | ConditionalExpression | Survived | "false"
877:12-877:29 | LogicalOperator | Survived | "xEnabled || width"
877:32-877:69 | ArithmeticOperator | Survived | "1 - (chartWidth - width) / chartWidth"
877:36-877:69 | ArithmeticOperator | Survived | "(chartWidth - width) * chartWidth"
877:37-877:55 | ArithmeticOperator | Survived | "chartWidth + width"
878:12-878:30 | ConditionalExpression | Survived | "true"
878:12-878:30 | LogicalOperator | Survived | "yEnabled || height"
878:12-878:30 | ConditionalExpression | Survived | "false"
878:33-878:73 | ArithmeticOperator | Survived | "1 - (chartHeight - height) / chartHeight"
878:37-878:73 | ArithmeticOperator | Survived | "(chartHeight - height) * chartHeight"
878:38-878:58 | ArithmeticOperator | Survived | "chartHeight + height"
883:7-883:23 | ConditionalExpression | RuntimeError | "false"
884:24-884:35 | StringLiteral | Survived | "\"\""
889:44-889:47 | StringLiteral | Survived | "\"\""
894:22-894:27 | BooleanLiteral | Survived | "true"
895:24-895:30 | StringLiteral | Survived | "\"\""
898:85-898:91 | StringLiteral | Survived | "\"\""
901:38-901:49 | ArrayDeclaration | Survived | "[]"
901:39-901:48 | ObjectLiteral | Survived | "{}"
905:40-905:58 | ArrayDeclaration | Survived | "[]"
905:41-905:57 | ObjectLiteral | Survived | "{}"
909:7-909:23 | ConditionalExpression | Survived | "true"
909:7-909:23 | ConditionalExpression | Survived | "false"
919:22-919:44 | ConditionalExpression | Survived | "true"
919:22-919:44 | EqualityOperator | Survived | "wheelEvent.deltaY > 0"
919:69-919:78 | ArithmeticOperator | Survived | "1 - speed"
923:17-923:88 | ObjectLiteral | Survived | "{}"
923:22-923:52 | ArithmeticOperator | Survived | "wheelEvent.clientX + rect.left"
923:57-923:86 | ArithmeticOperator | Survived | "wheelEvent.clientY + rect.top"
925:23-925:29 | StringLiteral | Survived | "\"\""
927:3-927:21 | OptionalChaining | RuntimeError | "onZoomComplete()"
930:7-930:14 | ConditionalExpression | Survived | "true"
931:69-931:80 | ArrayDeclaration | Survived | "[]"
931:70-931:79 | ObjectLiteral | Survived | "{}"
941:35-941:50 | ArithmeticOperator | Survived | "(a.y + b.y) * 2"
